cid	smiles	desc
24	O=C(NC1=CC=CC=C1)O[C@@H]1CN2CCC1CC2	O=C=NC1=CC=CC=C1.O[C@@H]1CN2CCC1CC2.CCCCCCCCCCCC(=O)[O-].CCCCCCCCCCCC(=O)[O-].CCC[CH2][Sn+2][CH2]CCC.CC1=CC=CC=C1
25	O=CC1=C(F)C=CC=C1Br	CN(C)C=O.FC1=CC(Br)=CC=C1.C1CCOC1.CC(C)NC(C)C.[Li][CH2]CCC
26	CC1=C(C=C2C(=O)NC3=C2C=C(I)C=C3)NC=C1CCC(=O)O	CC1=C(C=O)NC=C1CCC(=O)O.O=C1CC2=C(C=CC(I)=C2)N1.C1CCNCC1.CCO
27	C[C@H]1COCC2=NC3=C(C4=C(C=C(O)C=C4)N=C3N)N21	C[C@H]1COCC2=NC3=C(C4=C(C=C(OCC5=CC=CC=C5)C=C4)N=C3N)N21.CCO.ClC(Cl)Cl.[Pd]
28	CC1=CC(C(N)=O)=C(N)C=C1	CC1=CC(C(N)=O)=C([N+](=O)[O-])C=C1.C.CO.[Pd]
29	CCOC(=O)C1=COC(C2=C3C4=C(C=CC(N)=C4)OC3=C(OC(F)F)C=C2)=N1	CCOC(=O)C1=COC(C2=C3C4=C(C=CC([N+](=O)[O-])=C4)OC3=C(OC(F)F)C=C2)=N1.C.CCOC(C)=O.CO.[H][H].[Pd]
30	CC(C)(C)OC(=O)NC1=CC=C(OC2=NC(Cl)=NC=C2)C2=CC=CC=C12	CC(C)(C)OC(=O)NC1=CC=C(O)C2=CC=CC=C12.ClC1=NC(Cl)=NC=C1.C1CCC2=NCCCN2CC1.CC#N
31	CC1=C(NC2=C(F)C=C(I)C=C2)C(NS(=O)(=O)C2CC2)=C2SCCN2C1=O	CC1=C(NC2=C(F)C=C(I)C=C2)C(N)=C2SCCN2C1=O.O=S(=O)(Cl)C1CC1.CO.ClC(Cl)Cl.C1=CC=NC=C1
32	FC(F)(F)C1=CC(Cl)=C(OC2=CC=C(Cl)C=C2)N=C1	FC(F)(F)C1=CC(Cl)=C(Cl)N=C1.OC1=CC=C(Cl)C=C1.CS(C)=O.O.O=C([O-])[O-].[K+].[K+]
33	CCC(C)NC1=NC(Cl)=NC(C)=C1[N+](=O)[O-]	CCC(C)N.CC1=C([N+](=O)[O-])C(Cl)=NC(Cl)=N1.CCN(CC)CC.CCO
34	CS(=O)(=O)N1CCN(C2=CC=C([N+](=O)[O-])C=C2)CC1	CS(=O)(=O)Cl.O=[N+]([O-])C1=CC=C(N2CCNCC2)C=C1.CCN(CC)CC.ClCCl.O=C([O-])O.[Na+]
35	CON(C)C(=O)[C@H](CC(C)C)NC(=O)OC(C)(C)C	CC(C)C[C@H](NC(=O)OC(C)(C)C)C(=O)O.CNOC.CCN=C=NCCCN(C)C.CN(C)C=O.CN1CCOCC1.Cl.Cl.O.ON1N=NC2=CC=CC=C21
36	COC(=O)C1=CC(N)=C(N)N=C1	COC(=O)C1=CC([N+](=O)[O-])=C(N)N=C1.C1CCOC1.CO.[Pd]
37	CNCC1(C2=CC=C(Cl)C=C2)CCN(C(=O)OC(C)(C)C)CC1	CC(C)(C)OC(=O)N1CCC(C=O)(C2=CC=C(Cl)C=C2)CC1.CN.CCO.[BH4-].[Na+]
38	CC1=CC(C(=O)NC2=CC=C([C@@H]3C[C@H]3NC(=O)OC(C)(C)C)C=C2)=CC=C1	CC(C)(C)OC(=O)N[C@@H]1C[C@H]1C1=CC=C(N)C=C1.CC1=CC(C(=O)Cl)=CC=C1.CC#N.CCN(CC)CC.O
39	CC(C1=C(C2=CC=CC(F)=C2)C(=O)C2=CC=CC=C2O1)N1N=C(C2=CC=C(CN)S2)C2=C(N)N=CN=C21	CC(C1=C(C2=CC=CC(F)=C2)C(=O)C2=CC=CC=C2O1)N1N=C(C2=CC=C(CNC(=O)OC(C)(C)C)S2)C2=C(N)N=CN=C21.ClCCl.O=C(O)C(F)(F)F
40	CS(=O)(=O)NC1=CC=C(N2CCN(C3=NC=CC(N)=C3)CC2)C=C1	CS(=O)(=O)NC1=CC=C(N2CCN(C3=NC=CC([N+](=O)[O-])=C3)CC2)C=C1.CO.[H][H].[Pd]
41	O=C(O)CN1CCCCC1	CCOC(=O)CN1CCCCC1.Cl
42	CC1=C(/C=C/C2=NC=C(C(=O)O)C=C2)C(C2=CC=CC=C2)=NO1	COC(=O)C1=CN=C(/C=C/C2=C(C)ON=C2C2=CC=CC=C2)C=C1.C1CCOC1.CO.Cl.O.O.[Li+].[OH-]
43	CC1=C2C(=CS1)C(=O)NC1=CC=CC=C1N2C(=O)N1CCC(CCCCN2CCCCC2)CC1	C1CCN(CCCCC2CCNCC2)CC1.CC1=C2C(=CS1)C(=O)NC1=CC=CC=C1N2C(=O)Cl.CCOC(C)=O
44	COC1=NC2=C(N3C=C4CC(NCCCC5=CC=C(C)C=C5)CCC4=N3)C=CN=C2C=C1	COC1=NC2=C(N3C=C4CC(NC(=O)CCC5=CC=C(C)C=C5)CCC4=N3)C=CN=C2C=C1.CC(C)[CH2][AlH][CH2]C(C)C.COC1=NC2=C(N3C=C4CC(NCCCC5=CC=CC=C5C)CCC4=N3)C=CN=C2C=C1.ClCCl.O.O=C([O-])C(O)C(O)C(=O)[O-].[K+].[Na+]
45	CC1=C(OC2=CC(NC(=O)C3CC3)=NC=C2)N=CC(N)=C1	CC1=C(OC2=CC(NC(=O)C3CC3)=NC=C2)N=CC([N+](=O)[O-])=C1.CO.ClCCl
46	NNC(=O)[C@H]1CC[C@H](OC2=NC=CC=C2F)CC1	COC(=O)[C@H]1CC[C@H](OC2=NC=CC=C2F)CC1.NN.CCCCO.O
47	O=C(NC1C2CNCC21)OCC1C2=CC=CC=C2C2=CC=CC=C21	CC(C)(C)OC(=O)N1CC2C(C1)C2NC(=O)OCC1C2=CC=CC=C2C2=CC=CC=C21.ClCCl.O=C([O-])O.[Na+]
48	CC1=NC(C2=NC=C(OC3=CC(C(=O)O)=C([N+](=O)[O-])C=C3)C=C2)=NO1	COC(=O)C1=C([N+](=O)[O-])C=CC(OC2=CN=C(C3=NOC(C)=N3)C=C2)=C1.C1CCOC1.CO.O=C(O)CC(O)(CC(=O)O)C(=O)O.[Na+].[OH-]
49	CON(C)C(=O)C1=CC=NC=C1	CNOC.O=C(O)C1=CC=NC=C1.Cl.ClCCl.O=C(N1C=CN=C1)N1C=CN=C1.O=C=O
50	COC(=O)C1=CC=CC(N)=C1NCC1=CC=C(C2=CC=CC=C2C2=NN=NN2CC2=CC=CC=C2)C=C1	COC(=O)C1=C(NCC2=CC=C(C3=CC=CC=C3C3=NN=NN3CC3=CC=CC=C3)C=C2)C([N+](=O)[O-])=CC=C1.CO.[Cl][Sn][Cl].O.O
51	OCCNCC1CCNC1	OCCNCC1CCN(CC2=CC=CC=C2)C1.CO.[H][H].[Pd]
52	COCC1=CC(C2=CC=CC=C2)=CN1COC	CI.COCN1C=C(C2=CC=CC=C2)C=C1CO.C1CCOC1.[Cl-].[H-].[NH4+].[Na+]
53	CCOCCN1C(CN2CCN(CC(O)COC3=CC=CC=C3)CC2)=NC2=CC=CN=C21	CCOCCN1C(CN2CCNCC2)=NC2=CC=CN=C21.C1=CC=C(OCC2CO2)C=C1.CC(C)O
54	NC1=CC(Cl)=C(F)C(Cl)=C1	O=[N+]([O-])C1=CC(Cl)=C(F)C(Cl)=C1.CO.O.O=C[O-].[NH4+].[Zn]
55	C=CCOC1=CC(CC(=O)OC)=C(CC)C(OCC=C)=C1	C=CCOC1=CC(CC(=O)OC)=C(C(C)=O)C(OCC=C)=C1.CC[SiH](CC)CC.O=C(O)C(F)(F)F.O=C([O-])O.[Na+]
56	C[C@@H](O[Si](C)(C)C(C)(C)C)[C@@H](NC1=CC(C(F)(F)F)=C(C#N)C=C1)C(=O)NNC(=O)C1=CC=C(C#N)C=C1	CC(C)(C)[Si](C)(C)Cl.C[C@@H](O)[C@@H](NC1=CC(C(F)(F)F)=C(C#N)C=C1)C(=O)NNC(=O)C1=CC=C(C#N)C=C1.CN(C)C=O.C1=CNC=N1
57	CC(C)C[C@H](NC(C(=O)N(C)C)C1=C(F)C=C(F)C=C1)C(=O)O	COC(=O)[C@H](CC(C)C)NC(C(=O)N(C)C)C1=C(F)C=C(F)C=C1.CO.O.[Li+].[OH-]
58	COC1=NC(C)=CC(C)=C1C#N	CO.CC1=CC(C)=C(C#N)C(Cl)=N1.C[O-].[Na+]
59	CC(C)(C)OC(=O)NCCOC1=NOC2=C1C(C(N)=O)=C(F)C=C2	CC(C)(C)OC(=O)NCCOC1=NOC2=C1C(C(=O)O)=C(F)C=C2.N.C1CCOC1.CC(C)COC(=O)Cl.CCN(CC)CC
60	CC1(C)OB(C2=CN=C(S(=O)(=O)C3=CN=C(N)C=C3)C=C2)OC1(C)C	CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.NC1=NC=C(S(=O)(=O)C2=NC=C(Br)C=C2)C=C1.C1COCCO1.CC(=O)[O-].[K+]
61	C[Si](C)(C)C1=CC(N)=CC([Si](C)(C)C)=C1	C[Si](C)(C)C1=CC([N+](=O)[O-])=CC([Si](C)(C)C)=C1.[Pd].C1=CC=CC=C1
62	CC1(C)OB(C2=CC(C3=NC4=CC=CC=C4O3)=C(N)N=C2)OC1(C)C	CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.NC1=C(C2=NC3=CC=CC=C3O2)C=C(Br)C=N1.C1COCCO1.CC(=O)[O-].CCOC(C)=O.ClC(Cl)Cl.ClCCl.[Cl][Pd][Cl].[Fe+2].[K+].C1=CC=C(P(C2=CC=CC=C2)[C-]2C=CC=C2)C=C1.C1=CC=C(P(C2=CC=CC=C2)[C-]2C=CC=C2)C=C1
63	CN1C=C(C2=C(CO)C(N3CCN4C(=CC5=C4CCCC5)C3=O)=CN=C2)C=C(NC2=NC=C(N3CCN(C4COC4)CC3)C=C2)C1=O	CN1C=C(C2=C(C=O)C(N3CCN4C(=CC5=C4CCCC5)C3=O)=CN=C2)C=C(NC2=NC=C(N3CCN(C4COC4)CC3)C=C2)C1=O.CO.[BH4-].[Na+]
64	O=C(O)C1=C(Cl)C=C2NC=CC2=C1	COC(=O)C1=C(Cl)C=C2NC=CC2=C1.C1CCOC1.[Li+].[Na+].[OH-].[OH-]
65	O=C(O)C1=NC=CC(OC2=CC3=C(C=C2)N=C(N[C@@H]2CCCC[C@H]2O)S3)=C1	CC(C)(C)OC(=O)C1=NC=CC(OC2=CC3=C(C=C2)N=C(N[C@@H]2CCCC[C@H]2O)S3)=C1.CC#N.Cl
66	CC(=O)C1=C(OS(=O)(=O)C(F)(F)F)C=CC(F)=C1	CC(=O)C1=C(O)C=CC(F)=C1.O=S(=O)(OS(=O)(=O)C(F)(F)F)C(F)(F)F.CCOCC.C1=CC=NC=C1
67	CC(C)(C)CC(=O)NC1=CC2=C(N)N=CN=C2C=C1	CC(C)(C)CC(=O)Cl.NC1=CC2=C(N)N=CN=C2C=C1.CCCN(CCC)CCC.CO.CO.Cl.ClC(Cl)Cl.ClC(Cl)Cl.C1=CC=NC=C1
68	C[C@H]1CN(C2=C(N(C(=O)OC(C)(C)C)C(=O)OC(C)(C)C)C=NC=C2)C[C@@H](NC(=O)OC(C)(C)C)[C@@H]1O	C[C@H]1CN(C2=C(N(C(=O)OC(C)(C)C)C(=O)OC(C)(C)C)C=NC=C2)C[C@@H](NC(=O)OC(C)(C)C)[C@@H]1O[Si](C)(C)C(C)(C)C.C1CCOC1.CCCC[N+](CCCC)(CCCC)CCCC.CCOC(C)=O.O.[F-]
69	CN1N=C(C(=O)N2CCOCC2)C2=C1C1=C(C=CC([N+](=O)[O-])=C1)SC2	C1COCCN1.CN1N=C(C(=O)O)C2=C1C1=C(C=CC([N+](=O)[O-])=C1)SC2.C1CCOC1.CCCP1(=O)OP(=O)(CCC)OP(=O)(CCC)O1.CCN(CC)CC.CCOC(C)=O
70	OC1=CC=C(C2=NSN=C2Cl)C=C1	COC1=CC=C(C2=NSN=C2Cl)C=C1.BrB(Br)Br.ClCCl
71	CC(C)(C)OC(=O)N1CCC(C(=O)NC2=CC=CC=C2)CC1	CC(C)(C)OC(=O)N1CCC(C(=O)O)CC1.NC1=CC=CC=C1.C1CCOC1.CCOC(C)=O.Cl.O.O=C(C1=NC=CN1)C1=NC=CN1
72	OCC(F)(F)C1=CC=NC=C1	CCOC(=O)C(F)(F)C1=CC=NC=C1.CCO.[BH4-].[Na+]
73	N#CC1=CC=C(C2(O)CCCC2)C=C1	N#CC1=CC=C(Br)C=C1.O=C1CCCC1.BrBr.C[CH](C)[Mg][Cl].[Cl-].[Li+].[Mg]
74	CC(C)(C)OC(=O)NNC1=C(NC(=O)CCC2(C)OCCO2)C=NC2=CC=CC=C21	CC(C)(C)OC(=O)NNC1=C(N)C=NC2=CC=CC=C21.CC1(CCC(=O)O)OCCO1.CCN=C=NCCCN(C)C.CN(C)C1=CC=NC=C1.CN1CCOCC1.Cl.ClC(Cl)Cl.C1=CC=NC=C1
75	CC1=C(F)C(OC2=CC(C#N)=CC(Cl)=N2)=C(Cl)C=C1	CC1=C(F)C(O)=C(Cl)C=C1.N#CC1=CC(Cl)=NC(Cl)=C1.C1CCOC1.C1COCCOCCOCCOCCOCCO1.CC(C)(C)[O-].[K+]
76	CCOC(COC1=CC(Cl)=C(OC2=CC3=C(NC4=NC5=C(N=C(OC)C=C5)S4)N=CN=C3C=C2)N=C1)OCC	CCOC(COC1=CC(Cl)=C(Cl)N=C1)OCC.COC1=NC2=C(C=C1)N=C(NC1=C3C=C(O)C=CC3=NC=N1)S2.CC(=O)N(C)C.CC(C)(C)[O-].[Cl-].[K+].[NH4+]
77	CC(C)CN(C1=CC=C(F)C=C1)S(=O)(=O)C1=CN=C(NC2CCN(C(=O)OC(C)(C)C)CC2)C=C1	CC(C)(C)OC(=O)N1CCC(N)CC1.CC(C)CN(C1=CC=C(F)C=C1)S(=O)(=O)C1=CN=C(Cl)C=C1.CC#N.CCN(C(C)C)C(C)C.CCOC(C)=O.O=C([O-])O.[Na+]
78	COC1=CC=C(CN2N=NC(C3=CC=CC(CBr)=C3)=N2)C=C1	BrP(Br)Br.COC1=CC=C(CN2N=NC(C3=CC=CC(CO)=C3)=N2)C=C1.ClCCl
79	CCOC(=O)C1=C(C)C=C(N2CCN(CCO)C2=O)S1	CCOC(=O)C1=C(C)C=C(N2CCN(CCO[Si](C)(C)C(C)(C)C)C2=O)S1.CC(=O)O
80	N#CCC(=S)N1CCOCC1	COC1=CC=C(P2(=S)SP(=S)(C3=CC=C(OC)C=C3)S2)C=C1.N#CCC(=O)N1CCOCC1.C1CCOC1
81	COC1=CC2=CC=C([C@H](C)C(=O)OCCOC3=CC=C(OCCO)C=C3)C=C2C=C1	COC1=CC2=CC=C([C@H](C)C(=O)O)C=C2C=C1.OCCOC1=CC=C(OCCO)C=C1.CCN(CC)CC.CCN=C=NCCCN(C)C.CN(C)C=O.Cl
82	CC(C)(C)CC1NC(C(=O)NC2=CC(=O)N(CCO[Si](C)(C)C(C)(C)C)C=C2)C(C2=CC=CC(Cl)=C2F)C1(C#N)C1=C(F)C=C(Cl)C=C1	CC(C)(C)CC1NC(C(=O)O)C(C2=CC=CC(Cl)=C2F)C1(C#N)C1=C(F)C=C(Cl)C=C1.CC(C)(C)[Si](C)(C)OCCN1C=CC(N)=CC1=O.CCN(C(C)C)C(C)C.ClCCl.O=P(Cl)(C1=CC=CC=C1)C1=CC=CC=C1
83	O=C1OC(CCCN2CCN(C3=NC=CC=N3)CC2)CN1C1=CC=CC=C1	O=C1OC(CCCCl)CN1C1=CC=CC=C1.C1=CN=C(N2CCNCC2)N=C1.CCCCO.Cl.Cl.O=C([O-])[O-].[I-].[K+].[K+].[K+]
84	O=C(NC1=CC=CC(Cl)=C1Cl)NC1=C(O)C(S(=O)(=O)N2CCOCC2)=C(Cl)C=C1	NC1=C(O)C(S(=O)(=O)N2CCOCC2)=C(Cl)C=C1.O=C=NC1=CC=CC(Cl)=C1Cl.NC(N)=O
85	COC(=O)C1=CC(C2=CC(C)=C(Cl)C=C2)=C(OCC(F)(F)F)N=C1	COC(=O)C1=CC(Br)=C(OCC(F)(F)F)N=C1.CC1=C(Cl)C=CC(B(O)O)=C1.CCCCCCC.CCOC(C)=O.CS(C)=O.O.O=C([O-])[O-].[Na+].[Na+]
86	CC(=NO)C1=CC=CC2=CC=CC=C21	CC(=O)C1=CC=CC2=CC=CC=C21.NO.Cl.C1=CC=NC=C1
87	CC1=C(CC(=O)O)C=C2C=CC(F)=CC2=C1C1CCN(S(=O)(=O)CC2=CC=CC(Cl)=C2)CC1	COC(=O)CC1=C(C)C(C2CCN(S(=O)(=O)CC3=CC=CC(Cl)=C3)CC2)=C2C=C(F)C=CC2=C1.C1CCOC1.O.O.[Li+].[OH-]
88	O=C1CCN(C2=C(F)C3=NC=CC=C3C=C2)CC1	FC1=C(N2CCC3(CC2)OCCO3)C=CC2=CC=CN=C21.C1CCOC1.Cl.[Na+].[OH-]
89	CN(C(=O)C1CCOCC1)C1=CC=C(S(=O)(=O)N2CCC(NC(=O)OC(C)(C)C)CC2)C=C1	CNC1=CC=C(S(=O)(=O)N2CCC(NC(=O)OC(C)(C)C)CC2)C=C1.O=C(Cl)C1CCOCC1.C1CCOC1.CCN(C(C)C)C(C)C
90	CCNCC1(O)CCN(C)CC1	CC(=O)NCC1(O)CCN(C)CC1.C1CCOC1.[Al+3].[H-].[H-].[H-].[H-].[Li+]
91	COC(=O)C1=C(Br)C=CC(F)=C1F	CI.O=C(O)C1=C(Br)C=CC(F)=C1F.CN(C)C=O.O.O=C([O-])[O-].[K+].[K+]
92	CC1=CC=C(S(=O)(=O)OCC2CC3=C(C=C(OS(=O)(=O)C(F)(F)F)C=C3)O2)C=C1	CC1=CC=C(S(=O)(=O)OCC2CC3=C(C=C(O)C=C3)O2)C=C1.O=S(=O)(OS(=O)(=O)C(F)(F)F)C(F)(F)F.CCN(C(C)C)C(C)C.ClCCl
93	CCOC1=CC(C(=O)O)=C(F)C=C1[N+](=O)[O-]	CCO.O=C(O)C1=C(F)C=C([N+](=O)[O-])C(F)=C1.CN(C)C=O.Cl.O.O=C([O-])[O-].[Cs+].[Cs+]
94	CC1=NN(C2CCCCO2)C2=NC(C3=CC=C(O)C=C3)=CC(CN3CC(C)(C)NCC3(C)C)=C12	CC1=NN(C2CCCCO2)C2=NC(C3=CC=C(O)C=C3)=CC(CN3CC(C)(C)N(CC4=CC=CC=C4)CC3(C)C)=C12.CO
95	CCC1=NC(C2=CC=CC=C2)=CN1C1=CC=C(CCN)C=C1	CCC1=NC(C2=CC=CC=C2)=CN1C1=CC=C(CCN=[N+]=[N-])C=C1.CO.[Pd]
96	CCO[C@H]1CN(C(=O)OCC2=CC=CC=C2)C[C@H]1NC1=C(CC)N=CC(CC)=N1	CCI.CCC1=NC(N[C@@H]2CN(C(=O)OCC3=CC=CC=C3)C[C@@H]2O)=C(CC)N=C1.CN(C)C=O.[H-].[Na+]
97	CCN(CCCOC1=CC2=C(C=CC(=O)O2)C=C1)CC1COC2=CC=CC=C2O1	CCNCC1COC2=CC=CC=C2O1.O=C1C=CC2=C(C=C(OCCCBr)C=C2)O1.CCN(C(C)C)C(C)C.CN(C)C=O
98	COC(=O)C1=C([N+](=O)[O-])C(C)=C(C(=O)O)C=C1C	COC(=O)C1=C(C)C([N+](=O)[O-])=C(C(=O)OC)C(C)=C1.C1COCCO1.O.[Na+].[OH-]
99	COC(=O)CCNCC1=C(OCC(=O)N2C[C@H](C)N(CC3=CC=C(F)C=C3)C[C@H]2C)C=CC(Cl)=C1	COC(=O)CCN.C[C@@H]1CN(CC2=CC=C(F)C=C2)[C@@H](C)CN1C(=O)COC1=C(C=O)C=C(Cl)C=C1.CC(=O)O.CCN(CC)CC.CCOC(C)=O.CO.Cl.[BH3-]C#N.[Na+]
100	COC(=O)CC1=CC(Cl)=C(NC(=O)NC2=CC=CC=C2)C=C1	COC(=O)CC1=CC(Cl)=C(N)C=C1.O=C=NC1=CC=CC=C1.C1CCOC1.CCN(CC)CC
101	CC1=C(OCC2COC(C)(C)OC2)C=CN=C1CS(=O)C1=NC2=CC=CC=C2N1	CC1=C(OCC2COC(C)(C)OC2)C=CN=C1CSC1=NC2=CC=CC=C2N1.O=C(OO)C1=CC=CC(Cl)=C1.CO.CC1=CC=CC=C1.O=C([O-])O.[Na+]
102	COC(=O)C1=CC(C(C)(C)C)=C(C2=C(F)C=CC(O)=C2)C=C1	COC(=O)C1=CC(C(C)(C)C)=C(C2=C(F)C=CC(OC)=C2)C=C1.BrB(Br)Br.ClCCl
